iter	Passed	Remaining
968	10385	332
969	10395	321
970	10406	310
971	10416	300
972	10426	289
973	10437	278
974	10446	267
975	10457	257
976	10466	246
977	10477	235
978	10488	224
979	10498	214
980	10509	203
981	10519	192
982	10530	182
983	10540	171
984	10550	160
985	10560	149
986	10570	139
987	10580	128
988	10591	117
989	10600	107
990	10610	96
991	10621	85
992	10632	74
993	10644	64
994	10654	53
995	10663	42
996	10673	32
997	10684	21
998	10694	10
999	10705	0
